OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
0.031,0.043,0.078,0.109,-4.71,-4.571,8.1,3.9,3,4,0,1
0.047,0.023,0.022,0.071,4.03,2.359,-2.1,-3.4,0,-2,1,1
0.024,-0.015,0.001,0.025,-3.37,-4.339,7.2,5.8,2,113,0,1
-0.027,-0.048,-0.079,-0.106,1.59,1.657,-3.2,-2.6,3,5,0,1
-0.034,-0.049,-0.084,-0.119,4.5,2.812,-7.3,-1.1,2,28,-1,1
-0.005,-0.005,0.013,0.009,0.35,0.15,-2.9,-2.4,-1,9,1,0
0.049,0.041,0.2,0.25,-2.77,-0.847,-1.8,-1.4,1,61,1,0
0.076,0.045,0.03,0.105,3.22,1.741,-1.6,-4.1,4,47,1,1
0,-0.012,0.046,0.045,-3.04,-0.709,-0.5,3.9,1,79,2,0
0.087,0.095,0.077,0.163,-3.53,-1.222,-2.9,1.3,1,60,1,1
-0.007,-0.026,0.014,0.006,3.38,0.664,6.1,0.9,2,23,-1,1
0.047,0.042,0.049,0.095,0.57,0.343,6.8,3.1,0,-13,-1,1
0.031,0.042,0.019,0.05,-0.31,-0.073,-0.9,1.7,2,18,-1,1
0.032,0.019,0.077,0.111,3.01,2.223,2.5,-1.3,2,6,2,0
0.034,0.06,0.174,0.208,4.41,0.882,2.7,3.2,3,129,1,1
-0.063,-0.045,-0.099,-0.161,-0.87,-0.315,0.1,0.4,-5,-136,-3,0
-0.018,-0.016,-0.041,-0.059,-3.96,-0.999,0.4,1.6,-2,-64,-3,0
0.057,0.052,0.15,0.207,1.35,0.428,2.8,0.8,2,68,3,1
0.02,0.021,0.053,0.073,-3.63,-1.71,0.3,1.8,1,38,0,0
-0.023,-0.052,-0.054,-0.077,-0.91,0.321,-2.5,-3.5,-2,-45,0,0
0.016,-0.005,0.055,0.071,0.22,1.299,-2.8,-3.2,2,14,0,1
-0.08,-0.067,-0.17,-0.25,-1.5,-1.222,1.4,-0.4,-2,-84,0,1
-0.016,-0.014,-0.077,-0.093,5.36,2.316,1.7,-2.1,0,10,0,1
0.002,-0.006,-0.032,-0.031,-6.96,-2.24,4.2,1.4,-1,-27,0,0
0.05,0.07,0.126,0.176,-1.47,-0.706,4.3,1.6,2,21,0,0
-0.057,-0.048,-0.108,-0.165,-1.74,-0.578,0.1,1.4,-6,-154,-3,0
-0.043,-0.055,-0.111,-0.154,3.13,0.519,2.7,-0.6,0,38,0,0
0.069,0.046,0.133,0.203,1.88,0.443,5.1,0.1,2,80,3,1
